title,election,year,type,status,percent,topics,topics2,topics3,topics4,topics5,topics6
"
 Limitations on Enforcement of Unfair Business Competition Laws. Initiative Statute.",General,2004,Initiative,Pass (Yes votes: 59.0%),59.00%,Business & Commerce,Civil & Constitutional Law,,,,
"
 Veterans' Bond Act of 1990",General,1990,Legislative Referendum,Pass (Yes votes: 59.0%),59.00%,Bond Measures,Military & Veterans Affairs,,,,
"
 Education Facilities: Kindergarten-University Public Education Facilities Bond Acts of 2002 and 2004",General,2002,Legislative Referendum,Pass (Yes votes: 58.9%),58.90%,Bond Measures,Education: Higher Ed,Education: PreK-12,,,
"
 County Jail Capital Expenditure Bond Act Of 1984",Primary,1984,Legislative Referendum,Pass (Yes votes: 58.8%),58.80%,Bond Measures,Criminal Justice,,,,
"
 Illegal Aliens. Ineligibility for Public Services. Verification and Reporting. Initiative Statute.",General,1994,Initiative,Pass (Yes votes: 58.8%),58.80%,Civil & Constitutional Law,Education: Higher Ed,Education: PreK-12,Health,Human Services,State Government
"
 Superior Court Judges: Election in Counties Over 700,000 Population",General,1964,Legislative Referendum,Pass (Yes votes: 58.8%),58.80%,Elections,Judiciary,,,,
"
 Lotteries. Charitable Raffles. Legislative Constitutional Amendment.",Primary,2000,Legislative Referendum,Pass (Yes votes: 58.7%),58.70%,Gambling & Lotteries,Human Services,,,,
"
 Permitting State to Own Shares in Mutual Water Companies",General,1940,Legislative Referendum,Pass (Yes votes: 58.7%),58.70%,Business & Commerce,State Government,,,,
"
 Sale of Tidelands",General,1962,Legislative Referendum,Pass (Yes votes: 58.7%),58.70%,State Government,,,,,
"
 School Districts3",General,1972,Legislative Referendum,Pass (Yes votes: 58.6%),58.60%,Education: PreK-12,Local Government,,,,
"
 Boxing and Wrestling Contests4",General,1962,Legislative Referendum,Pass (Yes votes: 58.3%),58.30%,Business & Commerce,,,,,
"
 Children's Hospital Projects. Grant Program. Bond Act. Initiative Statute.",General,2004,Initiative,Pass (Yes votes: 58.3%),58.30%,Bond Measures,Health,,,,
"
 Highway Bonds",General,1920,Initiative,Pass (Yes votes: 58.3%),58.30%,Bond Measures,Transportation,,,,
"
 Relief Administration",General,1938,Legislative Referendum,Pass (Yes votes: 58.3%),58.30%,Human Services,State Government,,,,
"
 Cigarette and Tobacco Tax. Benefit Fund. Initiative Constitutional Amendment and Statute.",General,1988,Initiative,Pass (Yes votes: 58.2%),58.20%,Environmental Protection,Health,Tax & Revenue,,,
"
 Housing And Homeless Bond Act Of 1988",General,1988,Legislative Referendum,Pass (Yes votes: 58.2%),58.20%,Bond Measures,Human Services,,,,
"
 Campaign Funding. Contribution Limits. Prohibition Of Public Funding.",Primary,1988,Initiative,Pass (Yes votes: 58.1%),58.10%,Ethics/Lobbying/Campaign Finance,,,,,
"
 Taxation. Local Governments And Districts.",General,1986,Initiative,Pass (Yes votes: 58.0%),58.00%,Local Government,Tax & Revenue,,,,
"
 State Lottery.",General,1984,Initiative,Pass (Yes votes: 57.9%),57.90%,Education: PreK-12,Gambling & Lotteries,,,,
"
 Housing and Emergency Shelter Trust Fund Act of 2006",General,2006,Legislative Referendum,Pass (Yes votes: 57.8%),57.80%,Bond Measures,Human Services,Military & Veterans Affairs,,,
"
 New Prison Construction Bond Act Of 1984",Primary,1984,Legislative Referendum,Pass (Yes votes: 57.8%),57.80%,Bond Measures,Criminal Justice,,,,
"
 Higher Education Facilities Bond Act Of 1988",General,1988,Legislative Referendum,Pass (Yes votes: 57.7%),57.70%,Bond Measures,Education: Higher Ed,,,,
"
 Local Public Safety Protection and Improvement Act of 1993. Legislative Constitutional Amendment.",Special,1993,Legislative Referendum,Pass (Yes votes: 57.7%),57.70%,Tax & Revenue,,,,,
"
 Registration of Voters1",General,1930,Initiative,Pass (Yes votes: 57.7%),57.70%,Elections,,,,,
"
 California Drought, Water, Parks, Climate, Coastal Protection, and Outdoor Access for All Act",Primary,2018,Legislative Referendum,Pass (Yes votes: 57.6%),57.60%,Bond Measures,Budgets,Environmental Protection,Land Use/Property Rights,Natural Resources,
"
 1990 School Facilities Bond Act",Primary,1990,Legislative Referendum,Pass (Yes votes: 57.5%),57.50%,Bond Measures,Education: PreK-12,,,,
"
 Aged and Blind Act2",Special,1949,Initiative,Pass (Yes votes: 57.5%),57.50%,Human Services,,,,,
"
 Housing and Emergency Shelter Trust Fund Act of 2002",General,2002,Legislative Referendum,Pass (Yes votes: 57.5%),57.50%,Bond Measures,Human Services,,,,
"
 Number of Jurors in Civil Cases",General,1980,Legislative Referendum,Pass (Yes votes: 57.5%),57.50%,Civil & Constitutional Law,Judiciary,,,,
"
 Trapping Practices. Bans Use of Specified Traps and Animal Poisons. Initiative Statute.",General,1998,Initiative,Pass (Yes votes: 57.5%),57.50%,Animal Rights/Hunting & Fishing,,,,,
"
 Osteopathic Act",General,1922,Initiative,Pass (Yes votes: 57.3%),57.30%,Health,,,,,
"
 Incorporation of Municipalities",General,1914,Legislative Referendum,Pass (Yes votes: 57.1%),57.10%,Local Government,,,,,
"
 Legislative Sessions and Legislative Pay",Special,1949,Legislative Referendum,Pass (Yes votes: 57.1%),57.10%,Legislatures,,,,,
"
 Veterans' Tax Exemption for Widows",General,1964,Legislative Referendum,Pass (Yes votes: 57.1%),57.10%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Chiropractors2",General,1950,Legislative Referendum,Pass (Yes votes: 57.0%),57.00%,Civil & Constitutional Law,Health,,,,
"
 Criminal Law. Initiative Constitutional Amendment And Statute",Primary,1990,Initiative,Pass (Yes votes: 57.0%),57.00%,Criminal Justice,,,,,
"
 Education Facilities: Kindergarten-University Public Education Facilities Bond Act of 2006",General,2006,Legislative Referendum,Pass (Yes votes: 57.0%),57.00%,Bond Measures,Education: Higher Ed,Education: PreK-12,,,
"
 Amendment of Laws Adopted by Initiative",General,1946,Legislative Referendum,Pass (Yes votes: 56.9%),56.90%,Elections-Initiative Process,Legislatures,,,,
"
 Bond Measure: California Clean Water, Clean Air, Safe Neighborhood Parks, and Coastal Protection Act of 2002",Primary,2002,Legislative Referendum,Pass (Yes votes: 56.9%),56.90%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Bonds to Provide Public Community College Facilities",General,1972,Legislative Referendum,Pass (Yes votes: 56.9%),56.90%,Bond Measures,Education: Higher Ed,,,,
"
 Deposit of Public Moneys5",General,1918,Legislative Referendum,Pass (Yes votes: 56.9%),56.90%,Banking & Financial Services,Tax & Revenue,,,,
"
 School Districts2",General,1926,Legislative Referendum,Pass (Yes votes: 56.9%),56.90%,Education: PreK-12,Local Government,,,,
"
 Judges Pro Tempore",General,1922,Legislative Referendum,Pass (Yes votes: 56.8%),56.80%,Judiciary,,,,,
"
 Taxation: Insurance Companies; Home or Principal Office Deduction",General,1966,Legislative Referendum,Pass (Yes votes: 56.8%),56.80%,Insurance,Tax & Revenue,,,,
"
 Jurors' Fees",General,1928,Legislative Referendum,Pass (Yes votes: 56.7%),56.70%,Judiciary,,,,,
"
 Payments to Needy Blind",General,1952,Legislative Referendum,Pass (Yes votes: 56.7%),56.70%,Human Services,,,,,
"
 The Recreation and Fish and Wildlife Enhancement Bond Act",General,1970,Legislative Referendum,Pass (Yes votes: 56.7%),56.70%,Animal Rights/Hunting & Fishing,Bond Measures,Natural Resources,,,
"
 After School Programs. State Grants. Initiative Statute.",General,2002,Initiative,Pass (Yes votes: 56.6%),56.60%,Education: PreK-12,,,,,
"
 Junior College Construction Bond Act of 1968",Primary,1968,Legislative Referendum,Pass (Yes votes: 56.6%),56.60%,Bond Measures,Education: Higher Ed,,,,
"
 Voter Approval for Local Government Taxes. Limitations on Fees, Assessments and Charges. Initiative Constitutional Amendment.",General,1996,Initiative,Pass (Yes votes: 56.6%),56.60%,Local Government,Tax & Revenue,,,,
"
 Harbor Development Bonds",General,1958,Legislative Referendum,Pass (Yes votes: 56.5%),56.50%,Bond Measures,Economic Development,Transportation,,,
"
 Criminal Justice.",Primary,1982,Initiative,Pass (Yes votes: 56.4%),56.40%,Criminal Justice,,,,,
"
 School Districts, Fifth and Sixth Class Cities May Acquire Stock in Municipal Water Companies",General,1942,Legislative Referendum,Pass (Yes votes: 56.4%),56.40%,Local Government,,,,,
"
 Stockholders' Liability",General,1928,Legislative Referendum,Pass (Yes votes: 56.4%),56.40%,Business & Commerce,,,,,
"
 Chiropractors4",General,1960,Legislative Referendum,Pass (Yes votes: 56.3%),56.30%,Health,,,,,
"
 Passenger Rail And Clean Air Bond Act Of 1990",Primary,1990,Legislative Referendum,Pass (Yes votes: 56.3%),56.30%,Bond Measures,Transportation,,,,
"
 Right to Vote",General,1974,Legislative Referendum,Pass (Yes votes: 56.3%),56.30%,Civil & Constitutional Law,Elections,,,,
"
 Interest Rate on State Bonds",Primary,1970,Legislative Referendum,Pass (Yes votes: 56.2%),56.20%,Bond Measures,,,,,
"
 Minimum Wage",General,1914,Legislative Referendum,Pass (Yes votes: 56.2%),56.20%,Labor & Employment,Legislatures,,,,
"
 Veterans and Affordable Housing Bond Act",General,2018,Legislative Referendum,Pass (Yes votes: 56.2%),56.20%,Agriculture,Bond Measures,Budgets,Business & Commerce,Land Use/Property Rights,Military & Veterans Affairs
"
 Bonds to Provide State College and University Facilities",General,1966,Legislative Referendum,Pass (Yes votes: 56.1%),56.10%,Bond Measures,Education: Higher Ed,,,,
"
 California Earthquake Safety And Housing Rehabilitation Bond Act Of 1988",Primary,1988,Legislative Referendum,Pass (Yes votes: 56.1%),56.10%,Bond Measures,Human Services,State Government,,,
"
 New Prison Construction Bond Act of 1981",Primary,1982,Legislative Referendum,Pass (Yes votes: 56.1%),56.10%,Bond Measures,Criminal Justice,,,,
"
 New Prison Construction Bond Act Of 1990",Primary,1990,Legislative Referendum,Pass (Yes votes: 56.0%),56.00%,Bond Measures,Criminal Justice,,,,
"
 Nonpartisan Office.",Primary,1986,Legislative Referendum,Pass (Yes votes: 55.9%),55.90%,Ethics/Lobbying/Campaign Finance,,,,,
"
 Marine Resources. Initiative Constitutional Amendment.",General,1990,Initiative,Pass (Yes votes: 55.8%),55.80%,Animal Rights/Hunting & Fishing,Environmental Protection,Natural Resources,,,
"
 Prize Fights",General,1914,Initiative,Pass (Yes votes: 55.8%),55.80%,Gambling & Lotteries,,,,,
"
 Property Tax Postponement",Primary,1976,Legislative Referendum,Pass (Yes votes: 55.8%),55.80%,Human Services,Tax & Revenue,,,,
"
 Adoption and Amendment of Municipal Charters",General,1914,Legislative Referendum,Pass (Yes votes: 55.7%),55.70%,Local Government,,,,,
"
 Medical Use of Marijuana. Initiative Statute.",General,1996,Initiative,Pass (Yes votes: 55.6%),55.60%,Criminal Justice,Drug/Alcohol/Tobacco Policy,Health,,,
"
 Referendum Petition to Overturn Amendment to Indian Gaming Compact.1",Primary,2008,Popular Referendum,Pass (Yes votes: 55.6%),55.60%,Gambling & Lotteries,State-Tribal Relations,,,,
"
 Referendum Petition to Overturn Amendment to Indian Gaming Compact.2",Primary,2008,Popular Referendum,Pass (Yes votes: 55.6%),55.60%,Gambling & Lotteries,State-Tribal Relations,,,,
"
 Tax Liens",General,1932,Legislative Referendum,Pass (Yes votes: 55.6%),55.60%,Tax & Revenue,,,,,
"
 Open Space Conservation",General,1966,Legislative Referendum,Pass (Yes votes: 55.5%),55.50%,Natural Resources,,,,,
"
 Referendum Petition to Overturn Amendment to Indian Gaming Compact.3",Primary,2008,Popular Referendum,Pass (Yes votes: 55.5%),55.50%,Gambling & Lotteries,State-Tribal Relations,,,,
"
 Referendum Petition to Overturn Amendment to Indian Gaming Compact.4",Primary,2008,Popular Referendum,Pass (Yes votes: 55.5%),55.50%,Gambling & Lotteries,,,,,
"
 Governor's Review Of Legislation. Legislative Deadlines. Legislative Constitutional Amendment",Primary,1990,Legislative Referendum,Pass (Yes votes: 55.4%),55.40%,Legislatures,State Government,,,,
"
 Salaries and Expense of Legislature",General,1924,Legislative Referendum,Pass (Yes votes: 55.4%),55.40%,Legislatures,,,,,
"
 Children’s Hospital Bond Act. Grant Program. Initiative Statute. ",General,2008,Initiative,Pass (Yes votes: 55.3%),55.30%,Bond Measures,Health,,,,
"
 Church Exemptions: Parking Lots",General,1956,Legislative Referendum,Pass (Yes votes: 55.3%),55.30%,Tax & Revenue,,,,,
"
 Corporations2",General,1926,Legislative Referendum,Pass (Yes votes: 55.3%),55.30%,Business & Commerce,,,,,
"
 Prohibiting ""Hot Cargo,"" ""Secondary Boycott""",General,1942,Popular Referendum,Pass (Yes votes: 55.3%),55.30%,Labor & Employment,,,,,
"
 Regents, University of California",General,1974,Legislative Referendum,Pass (Yes votes: 55.3%),55.30%,Education: Higher Ed,,,,,
"
 Water Quality, Supply and Safe Drinking Water Projects. Coastal Wetlands Purchase and Protection. Bonds. Initiative Statute.",General,2002,Initiative,Pass (Yes votes: 55.3%),55.30%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Coastal Zone Conservation Act",General,1972,Initiative,Pass (Yes votes: 55.2%),55.20%,Environmental Protection,Natural Resources,,,,
"
 State and County Boards of Education: Textbooks",Primary,1970,Legislative Referendum,Pass (Yes votes: 55.2%),55.20%,Education: PreK-12,Local Government,,,,
"
 State Funds",General,1968,Legislative Referendum,Pass (Yes votes: 55.2%),55.20%,Budgets,,,,,
"
 Changes Legislative Vote Requirement to Pass a Budget from Two-Thirds to a Simple Majority. Retains Two-Thirds Vote Requirement for Taxes. Initiative Constitutional Amendment. ",General,2010,Initiative,Pass (Yes votes: 55.1%),55.10%,Budgets,Legislatures,,,,
"
 State Surplus Coastal Property",General,1978,Legislative Referendum,Pass (Yes votes: 55.1%),55.10%,Energy & Electric Utilities,Environmental Protection,Tax & Revenue,,,
"
 Daylight Saving Time",Special,1949,Initiative,Pass (Yes votes: 55%),55%,Civil & Constitutional Law,,,,,
"
 Earthquake Safety And Public Buildings Rehabilitation Bond Act Of 1990",Primary,1990,Legislative Referendum,Pass (Yes votes: 55.0%),55.00%,Bond Measures,State Government,,,,
"
 Governor's Parole Review.",General,1988,Legislative Referendum,Pass (Yes votes: 55.0%),55.00%,Criminal Justice,,,,,
"
 Higher Education Facilities Bond Act Of June 1990",Primary,1990,Legislative Referendum,Pass (Yes votes: 55.0%),55.00%,Bond Measures,Education: Higher Ed,,,,
"
 Public Works Projects. Use of Private Contractors for Engineering and Architectural Services. Initiative Constitutional Amendment and Statute.",General,2000,Initiative,Pass (Yes votes: 55%),55%,Labor & Employment,Local Government,State Government,,,
"
 Presidential Voting",General,1958,Legislative Referendum,Pass (Yes votes: 54.9%),54.90%,Elections,,,,,
"
 State Budget2",General,1970,Legislative Referendum,Pass (Yes votes: 54.9%),54.90%,Budgets,Legislatures,,,,
"
 County Correctional Facility Capital Expenditure And Youth Facility Bond Act Of 1988",General,1988,Legislative Referendum,Pass (Yes votes: 54.8%),54.80%,Bond Measures,Criminal Justice,,,,
"
 Reapportionment of Legislative Districts",General,1928,Popular Referendum,Pass (Yes votes: 54.8%),54.80%,Redistricting,,,,,
"
 Hospital Loans",General,1968,Legislative Referendum,Pass (Yes votes: 54.7%),54.70%,Health,,,,,
"
 Municipal Charters1",General,1922,Legislative Referendum,Pass (Yes votes: 54.7%),54.70%,Local Government,,,,,
"
 Reapportionment.2",Primary,1980,Legislative Referendum,Pass (Yes votes: 54.7%),54.70%,Judiciary,,,,,
"
 Legislative Reapportionment",General,1926,Initiative,Pass (Yes votes: 54.6%),54.60%,Redistricting,,,,,
"
 Prohibition Against Discrimination or Preferential Treatment by State and Other Public Entities. Initiative Constitutional Amendment.",General,1996,Initiative,Pass (Yes votes: 54.6%),54.60%,Civil & Constitutional Law,Education: Higher Ed,Labor & Employment,Local Government,State Government,
"
 Administrative Agencies",Primary,1978,Legislative Referendum,Pass (Yes votes: 54.5%),54.50%,State Government,,,,,
"
 Bond Vote for Structurally Unsafe School Buildings",General,1972,Legislative Referendum,Pass (Yes votes: 54.5%),54.50%,Bond Measures,Education: PreK-12,,,,
"
 Disclosures To Consumers, Voter, Investors.",General,1988,Initiative,Pass (Yes votes: 54.5%),54.50%,Business & Commerce,Environmental Protection,Ethics/Lobbying/Campaign Finance,Health,Insurance,
"
 State Civil Service2",General,1970,Legislative Referendum,Pass (Yes votes: 54.5%),54.50%,Labor & Employment,State Government,,,,
"
 Taxation Exemption of Religious, Hospital, and Charitable Organizations",General,1944,Legislative Referendum,Pass (Yes votes: 54.5%),54.50%,Health,Human Services,Tax & Revenue,,,
"
 University of California. Competitive Bidding. Grounds for Denial of Admission2",General,1976,Legislative Referendum,Pass (Yes votes: 54.5%),54.50%,Education: Higher Ed,,,,,
"
 Investment Companies Act",General,1914,Popular Referendum,Pass (Yes votes: 54.4%),54.40%,Banking & Financial Services,Business & Commerce,,,,
"
 Taxation of Restricted Historic Property",Primary,1976,Legislative Referendum,Pass (Yes votes: 54.4%),54.40%,Arts & Culture,Tax & Revenue,,,,
"
 Valuation of Condemned Public Utilities by Railroad Commission",General,1914,Legislative Referendum,Pass (Yes votes: 54.4%),54.40%,Business & Commerce,Land Use/Property Rights,Natural Resources,,,
